total_laid_off,company_name,stage_group,industry_name,city,country,latitude,longitude,year,quarter
180.0,Teads,Unknown,Advertising Services,New York City,USA,40.7127281,-74.0060152,2025.0,4.0
451.0,OneWeb,Unknown,Aerospace,London,UK,51.4893335,-0.144055085,2020.0,1.0
1000.0,Lilium,Mature/Public,Aerospace,Munich,Germany,48.1371079,11.5753822,2024.0,4.0
34.0,Satellogic,Mature/Public,Aerospace,Montevideo,Uruquay,-34.901112,-56.164532,2024.0,2.0
180.0,Planet,Mature/Public,Aerospace,San Francisco,USA,37.7792588,-122.4193286,2024.0,2.0
117.0,Planet,Mature/Public,Aerospace,San Francisco,USA,37.7792588,-122.4193286,2023.0,3.0
40.0,Astra,Unknown,Aerospace,Alameda,USA,37.6090291,-121.899142,2020.0,2.0
30.0,True Anomaly,Growth Stage,Aerospace,Denver,USA,39.7392364,-104.984862,2024.0,2.0
100.0,Kitty Hawk,Unknown,Aerospace,Palo Alto,USA,37.4443293,-122.1598465,2022.0,3.0
75.0,Sarcos,Mature/Public,Aerospace,Salt Lake City,USA,40.7596198,-111.886797,2023.0,3.0
70.0,Satellogic,Mature/Public,Aerospace,Montevideo,Uruquay,-34.901112,-56.164532,2024.0,2.0
1000.0,Blue Origin,Unknown,Aerospace,Seattle,USA,47.6038321,-122.330062,2025.0,1.0
150.0,Dataminr,Late Stage,AI,New York City,USA,40.7127281,-74.0060152,2023.0,4.0
22.0,D-ID,Growth Stage,AI,Tel Aviv,Israel,32.0852997,34.7818064,2025.0,1.0
10.0,Noogata,Early Stage,AI,Tel Aviv,Israel,32.0852997,34.7818064,2025.0,2.0
15.0,Tabnine,Growth Stage,AI,Tel Aviv,Israel,32.0852997,34.7818064,2025.0,1.0
12.0,Tome,Growth Stage,AI,San Francisco,USA,37.7792588,-122.4193286,2024.0,2.0
40.0,Logically,Early Stage,AI,Manchester,United Kingdom,53.4794892,-2.2451148,2025.0,1.0
20.0,Cohere,Growth Stage,AI,Toronto,Canada,43.6534817,-79.3839347,2024.0,3.0
20.0,Stability AI,Unknown,AI,London,UK,51.4893335,-0.144055085,2024.0,2.0
10.0,Hugging Face,Growth Stage,AI,New York City,USA,40.7127281,-74.0060152,2025.0,1.0
6.0,Character.ai,Early Stage,AI,Menlo Park,USA,37.4519671,-122.177992,2024.0,3.0
77.0,SambaNova,Growth Stage,AI,Palo Alto,USA,37.4443293,-122.1598465,2025.0,2.0
20.0,Deepgram,Growth Stage,AI,San Francisco,USA,37.7792588,-122.4193286,2023.0,4.0
75.0,Tenstorrent,Unknown,AI chip startup,Toronto,Canada,43.6534817,-79.3839347,2025.0,4.0
5000.0,Toshiba,Mature/Public,Appliances,Tokyo,Japan,35.6821936,139.762221,2024.0,2.0
200.0,Mobileye,Unknown,Autonomous-driving vehicles,Jerusalem,Israel,31.78847185,35.21879441,2025.0,4.0
50.0,Syqe Medical,Unknown,Biotechnology Research,Tel Aviv,Israel,32.0852997,34.7818064,2025.0,3.0
360.0,McKinsey & Co,Unknown,Business Consulting and Services,New York City,USA,40.7127281,-74.0060152,2024.0,2.0
800.0,Playtika,Unknown,Computer Games,Herzliya,Israel,32.17527727,34.8295478,2025.0,4.0
25.0,Ludeo,Unknown,Computer Games,El Segundo,USA,33.91462502,-118.4071838,2025.0,4.0
180.0,Procore,Unknown,Construction,Los Angeles,USA,34.0536909,-118.242766,2020.0,3.0
210.0,RenoRun,Growth Stage,Construction,Montreal,Canada,45.5031824,-73.5698065,2022.0,4.0
140.0,Yojak,Early Stage,Construction,Gurugram,India,28.4646148,77.0299194,2022.0,2.0
240.0,Katerra,Growth Stage,Construction,Menlo Park,USA,37.4519671,-122.177992,2020.0,2.0
13.0,Bridgit,Growth Stage,Construction,Waterloo,Canada,43.4652699,-80.5222961,2022.0,4.0
16.0,Rhumbix,Growth Stage,Construction,San Francisco,USA,37.7792588,-122.4193286,2020.0,2.0
2434.0,Katerra,Unknown,Construction,Menlo Park,USA,37.4519671,-122.177992,2021.0,2.0
400.0,Katerra,Late Stage,Construction,Menlo Park,USA,37.4519671,-122.177992,2020.0,2.0
70.0,RenoRun,Growth Stage,Construction,Montreal,Canada,45.5031824,-73.5698065,2022.0,3.0
60.0,Parler,Growth Stage,Consumer,Nashville,USA,36.1622767,-86.7742984,2023.0,1.0
780.0,Electronic Arts,Mature/Public,Consumer,Redwood City,USA,37.4863239,-122.232523,2023.0,1.0
670.0,Electronic Arts,Mature/Public,Consumer,Redwood City,USA,37.4863239,-122.232523,2024.0,1.0
500.0,Snap,Mature/Public,Consumer,Los Angeles,USA,34.0536909,-118.242766,2024.0,1.0
870.0,Epic Gaming,Unknown,Consumer,Raleigh,USA,35.7803977,-78.6390989,2023.0,3.0
95.0,Houzz,Late Stage,Consumer,Palo Alto,USA,37.4443293,-122.1598465,2022.0,4.0
155.0,Houzz,Late Stage,Consumer,Palo Alto,USA,37.4443293,-122.1598465,2020.0,2.0
30.0,Gather,Growth Stage,Consumer,Palo Alto,USA,37.4443293,-122.1598465,2022.0,2.0
140.0,iRobot,Mature/Public,Consumer,Boston,USA,42.3554334,-71.060511,2022.0,3.0
105.0,iRobot,Mature/Public,Consumer,Boston,USA,42.3554334,-71.060511,2024.0,4.0
65.0,Playdots,Mature/Public,Consumer,New York City,USA,40.7127281,-74.0060152,2022.0,4.0
350.0,iRobot,Mature/Public,Consumer,Boston,USA,42.3554334,-71.060511,2024.0,1.0
85.0,iRobot,Mature/Public,Consumer,Boston,USA,42.3554334,-71.060511,2023.0,1.0
140.0,DraftKings,Mature/Public,Consumer,Boston,USA,42.3554334,-71.060511,2023.0,1.0
45.0,VSCO,Growth Stage,Consumer,Oakland,USA,37.8044557,-122.271356,2020.0,2.0
350.0,Bumble,Mature/Public,Consumer,Austin,USA,30.2711286,-97.7436995,2024.0,1.0
325.0,Match Group,Mature/Public,Consumer,New York City,USA,40.7127281,-74.0060152,2025.0,2.0
100.0,FanClash,Growth Stage,Consumer,Gurugram,India,28.4646148,77.0299194,2023.0,1.0
60.0,Linktree,Unknown,Consumer,Melbourne,Australia,-37.8142454,144.9631732,2023.0,2.0
50.0,Linktree,Unknown,Consumer,Melbourne,Australia,-37.8142454,144.9631732,2022.0,3.0
10000.0,Meta,Mature/Public,Consumer,Menlo Park,USA,37.4519671,-122.177992,2023.0,1.0
240.0,Bumble,Mature/Public,Consumer,Austin,USA,30.2711286,-97.7436995,2025.0,2.0
250.0,HOOQ,Unknown,Consumer,Singapore,Singapore,1.2899175,103.8519072,2020.0,1.0
180.0,Xiaohongshu,Late Stage,Consumer,Shanghai,China,31.2312707,121.4700152,2022.0,2.0
220.0,Bungie,Mature/Public,Consumer,Seattle,USA,47.6038321,-122.330062,2024.0,3.0
11000.0,Meta,Mature/Public,Consumer,Menlo Park,USA,37.4519671,-122.177992,2022.0,4.0
194.0,Rover,Late Stage,Consumer,Seattle,USA,47.6038321,-122.330062,2020.0,1.0
200.0,ShareChat,Late Stage,Consumer,Bengaluru,India,12.98815675,77.62260004,2023.0,4.0
87.0,Cameo,Unknown,Consumer,Chicago,USA,41.8755616,-87.6244212,2022.0,2.0
6.0,Jiobit,Unknown,Consumer,Chicago,USA,41.8755616,-87.6244212,2020.0,2.0
3600.0,Meta,Mature/Public,Consumer,Menlo Park,USA,37.4519671,-122.177992,2025.0,1.0
300.0,Wildlife Studios,Unknown,Consumer,Sao Paulo,Brazil,-23.5506507,-46.6333824,2022.0,4.0
11.0,GetNinjas,Growth Stage,Consumer,Sao Paulo,Brazil,-23.5506507,-46.6333824,2020.0,2.0
90.0,Picsart,Growth Stage,Consumer,Miami,USA,25.7741728,-80.19362,2022.0,2.0
1000.0,Magic Leap,Late Stage,Consumer,Miami,USA,25.7741728,-80.19362,2020.0,2.0
78.0,Koo,Growth Stage,Consumer,Bengaluru,India,12.98815675,77.62260004,2023.0,2.0
200.0,Sonos,Mature/Public,Consumer,Santa Barbara,USA,34.4221319,-119.702667,2025.0,1.0
100.0,Sonos,Mature/Public,Consumer,Santa Barbara,USA,34.4221319,-119.702667,2024.0,3.0
900.0,Sony Interactive,Mature/Public,Consumer,San Mateo,USA,37.496904,-122.3330573,2024.0,1.0
139.0,GoPro,Mature/Public,Consumer,San Mateo,USA,37.496904,-122.3330573,2024.0,3.0
200.0,GoPro,Mature/Public,Consumer,San Mateo,USA,37.496904,-122.3330573,2020.0,2.0
530.0,Riot Gaming,Mature/Public,Consumer,Los Angeles,USA,34.0536909,-118.242766,2024.0,1.0
1600.0,Yahoo,Mature/Public,Consumer,Sunnyvale,USA,37.3688301,-122.036349,2023.0,1.0
100.0,Eventbrite,Mature/Public,Consumer,San Francisco,USA,37.7792588,-122.4193286,2024.0,3.0
170.0,Discord,Late Stage,Consumer,San Francisco,USA,37.7792588,-122.4193286,2024.0,1.0
37.0,Discord,Late Stage,Consumer,San Francisco,USA,37.7792588,-122.4193286,2023.0,3.0
12000.0,Google,Mature/Public,Consumer,Mountain View,USA,37.3893889,-122.0832101,2023.0,1.0
270.0,BookMyShow,Unknown,Consumer,Mumbai,India,19.0785451,72.878176,2020.0,2.0
40.0,Loco,Mature/Public,Consumer,Mumbai,India,19.0785451,72.878176,2023.0,4.0
23.0,Superhuman,Growth Stage,Consumer,San Francisco,USA,37.7792588,-122.4193286,2022.0,2.0
7.0,Smashing,Early Stage,Consumer,San Francisco,USA,37.7792588,-122.4193286,2025.0,2.0
70.0,Skillz,Mature/Public,Consumer,San Francisco,USA,37.7792588,-122.4193286,2022.0,2.0
80.0,Eventbrite,Mature/Public,Consumer,San Francisco,USA,37.7792588,-122.4193286,2023.0,1.0
500.0,Eventbrite,Mature/Public,Consumer,San Francisco,USA,37.7792588,-122.4193286,2020.0,2.0
80.0,Storytel,Mature/Public,Consumer,Stockholm,Sweden,59.3251172,18.0710935,2024.0,1.0
60.0,Tilting Point,Unknown,Consumer,New York City,USA,40.7127281,-74.0060152,2023.0,1.0
100.0,Mobile Premier League,Late Stage,Consumer,Bengaluru,India,12.98815675,77.62260004,2022.0,2.0
150.0,SeatGeek,Late Stage,Consumer,New York City,USA,40.7127281,-74.0060152,2025.0,1.0
174.0,Sonos,Mature/Public,Consumer,New York City,USA,40.7127281,-74.0060152,2020.0,2.0
130.0,Sonos,Mature/Public,Consumer,New York City,USA,40.7127281,-74.0060152,2023.0,2.0
30.0,Airtime,Growth Stage,Consumer,New York City,USA,40.7127281,-74.0060152,2022.0,2.0
1000.0,Yelp,Mature/Public,Consumer,San Francisco,USA,37.7792588,-122.4193286,2020.0,2.0
85.0,Niantic,Growth Stage,Consumer,San Francisco,USA,37.7792588,-122.4193286,2022.0,2.0
85.0,Jam City,Unknown,Consumer,Los Angeles,USA,34.0536909,-118.242766,2024.0,3.0
500.0,Eaze,Growth Stage,Consumer,San Francisco,USA,37.7792588,-122.4193286,2024.0,4.0
25.0,Airtime,Growth Stage,Consumer,New York City,USA,40.7127281,-74.0060152,2025.0,2.0
500.0,ShareChat,Late Stage,Consumer,Bengaluru,India,12.98815675,77.62260004,2023.0,1.0
25.0,IRL,Growth Stage,Consumer,Berkeley,USA,37.8708393,-122.272863,2022.0,2.0
80.0,Glossier,Late Stage,Consumer,New York City,USA,40.7127281,-74.0060152,2022.0,1.0
80.0,Sandbox VR,Early Stage,Consumer,San Francisco,USA,37.7792588,-122.4193286,2020.0,2.0
250.0,Mozilla,Unknown,Consumer,San Francisco,USA,37.7792588,-122.4193286,2020.0,3.0
60.0,Mozilla,Unknown,Consumer,San Francisco,USA,37.7792588,-122.4193286,2024.0,1.0
250.0,Thumbtack,Late Stage,Consumer,San Francisco,USA,37.7792588,-122.4193286,2020.0,1.0
160.0,Thumbtack,Late Stage,Consumer,San Francisco,USA,37.7792588,-122.4193286,2022.0,4.0
90.0,Reddit,Late Stage,Consumer,San Francisco,USA,37.7792588,-122.4193286,2023.0,2.0
96.0,Arkane Studios,Unknown,Consumer,Austin,USA,30.2711286,-97.7436995,2024.0,2.0
50.0,Iflix,Unknown,Consumer,Kuala Lumpur,Malaysia,3.1516964,101.6942371,2020.0,2.0
500.0,Twitch,Mature/Public,Consumer,San Francisco,USA,37.7792588,-122.4193286,2024.0,1.0
200.0,Twitter,Mature/Public,Consumer,San Francisco,USA,37.7792588,-122.4193286,2023.0,1.0
200.0,Jam City,Unknown,Consumer,Los Angeles,USA,34.0536909,-118.242766,2022.0,3.0
3700.0,Twitter,Mature/Public,Consumer,San Francisco,USA,37.7792588,-122.4193286,2022.0,4.0
1280.0,Snap,Mature/Public,Consumer,Los Angeles,USA,34.0536909,-118.242766,2022.0,3.0
80.0,Lightricks,Growth Stage,Consumer,Jerusalem,Israel,31.78847185,35.21879441,2022.0,3.0
27.0,Brave,Growth Stage,Consumer,San Francisco,USA,37.7792588,-122.4193286,2024.0,3.0
400.0,Juul,Unknown,Consumer,San Francisco,USA,37.7792588,-122.4193286,2022.0,4.0
900.0,Juul,Unknown,Consumer,San Francisco,USA,37.7792588,-122.4193286,2020.0,2.0
35.0,Kabam,Mature/Public,Consumer,San Francisco,USA,37.7792588,-122.4193286,2022.0,4.0
300.0,Playtika,Mature/Public,Consumer,Tel Aviv,Israel,32.0852997,34.7818064,2024.0,1.0
6.0,Panda Squad,Early Stage,Consumer,San Francisco,USA,37.7792588,-122.4193286,2020.0,1.0
70.0,Lightricks,Growth Stage,Consumer,Jerusalem,Israel,31.78847185,35.21879441,2024.0,3.0
22.0,Sorare,Growth Stage,Crypto,New York City,USA,40.7127281,-74.0060152,2024.0,1.0
1100.0,Kraken,Unknown,Crypto,San Francisco,USA,37.7792588,-122.4193286,2022.0,4.0
150.0,Chainalysis,Late Stage,Crypto,New York City,USA,40.7127281,-74.0060152,2023.0,4.0
17.0,Community Gaming,Early Stage,Crypto,New York City,USA,40.7127281,-74.0060152,2023.0,2.0
90.0,2TM,Unknown,Crypto,Sao Paulo,Brazil,-23.5506507,-46.6333824,2022.0,2.0
250.0,BlockFi,Late Stage,Crypto,New York City,USA,40.7127281,-74.0060152,2022.0,2.0
100.0,2TM,Unknown,Crypto,Sao Paulo,Brazil,-23.5506507,-46.6333824,2022.0,3.0
47.0,ConsenSys,Unknown,Crypto,New York City,USA,40.7127281,-74.0060152,2025.0,3.0
100.0,Gemini,Unknown,Crypto,New York City,USA,40.7127281,-74.0060152,2022.0,2.0
80.0,Bitso,Growth Stage,Crypto,Mexico City,Mexico,19.4326296,-99.1331785,2022.0,2.0
30.0,Coinsquare,Unknown,Crypto,Toronto,Canada,43.6534817,-79.3839347,2022.0,3.0
150.0,Blockchain.com,Growth Stage,Crypto,London,UK,51.4893335,-0.144055085,2022.0,3.0
